post_url,channel_username,message_id,course,course_match_status,scenario_post_time,scenario_sales_utc_offset_hours,before_72h_amount_kopecks,after_72h_amount_kopecks,before_72h_lines,after_72h_lines,fits_observed_time_bounds,other_observed_activity_posts_around,interpretation,before_72h_case_amount_rub,after_72h_case_amount_rub
https://t.me/chad_protocol/508,chad_protocol,508,Аналитика про,family_candidate,2026-08-05 15:19:34,0,0,0,0,0,False,10,Тематическое окно; не выручка от поста. Окна разных публикаций пересекаются.,0.0,0.0
https://t.me/chad_protocol/508,chad_protocol,508,ML про,family_candidate,2026-08-05 15:19:34,0,1742500,1749000,2,2,False,10,Тематическое окно; не выручка от поста. Окна разных публикаций пересекаются.,17425.0,17490.0
https://t.me/chad_protocol/508,chad_protocol,508,Backend про,family_candidate,2026-08-05 15:19:34,0,847500,797500,1,1,False,10,Тематическое окно; не выручка от поста. Окна разных публикаций пересекаются.,8475.0,7975.0
https://t.me/chad_protocol/508,chad_protocol,508,Алгоритмы про,family_candidate,2026-08-05 15:19:34,0,0,0,0,0,False,10,Тематическое окно; не выручка от поста. Окна разных публикаций пересекаются.,0.0,0.0
https://t.me/chad_protocol/508,chad_protocol,508,AI агенты,family_candidate,2026-08-05 15:19:34,0,0,0,0,0,False,10,Тематическое окно; не выручка от поста. Окна разных публикаций пересекаются.,0.0,0.0
https://t.me/postypashki_old/1833,postypashki_old,1833,Алгоритмы старт,explicit,2026-08-07 14:22:16,0,0,22465168,0,44,True,13,Тематическое окно; не выручка от поста. Окна разных публикаций пересекаются.,0.0,224651.68
https://t.me/chad_protocol/510,chad_protocol,510,Аналитика старт,family_candidate,2026-08-08 09:24:53,0,0,20396000,0,35,True,15,Тематическое окно; не выручка от поста. Окна разных публикаций пересекаются.,0.0,203960.0
https://t.me/chad_protocol/510,chad_protocol,510,Алгоритмы старт,family_candidate,2026-08-08 09:24:53,0,0,25589168,0,50,True,15,Тематическое окно; не выручка от поста. Окна разных публикаций пересекаются.,0.0,255891.68
https://t.me/chad_protocol/510,chad_protocol,510,Backend старт,family_candidate,2026-08-08 09:24:53,0,3141500,11623666,4,21,True,15,Тематическое окно; не выручка от поста. Окна разных публикаций пересекаются.,31415.0,116236.66
https://t.me/chad_protocol/510,chad_protocol,510,ML старт,family_candidate,2026-08-08 09:24:53,0,2523500,18551333,3,34,True,15,Тематическое окно; не выручка от поста. Окна разных публикаций пересекаются.,25235.0,185513.33
https://t.me/postypashki_mems/1373,postypashki_mems,1373,Аналитика старт,family_candidate,2026-08-08 10:34:46,0,0,20396000,0,35,True,15,Тематическое окно; не выручка от поста. Окна разных публикаций пересекаются.,0.0,203960.0
https://t.me/postypashki_mems/1373,postypashki_mems,1373,Алгоритмы старт,family_candidate,2026-08-08 10:34:46,0,0,25589168,0,50,True,15,Тематическое окно; не выручка от поста. Окна разных публикаций пересекаются.,0.0,255891.68
https://t.me/postypashki_mems/1373,postypashki_mems,1373,Backend старт,family_candidate,2026-08-08 10:34:46,0,3790500,10974666,5,20,True,15,Тематическое окно; не выручка от поста. Окна разных публикаций пересекаются.,37905.0,109746.66
https://t.me/postypashki_mems/1373,postypashki_mems,1373,ML старт,family_candidate,2026-08-08 10:34:46,0,2523500,18551333,3,34,True,15,Тематическое окно; не выручка от поста. Окна разных публикаций пересекаются.,25235.0,185513.33
https://t.me/algoses/594,algoses,594,Аналитика старт,family_candidate,2026-08-08 14:04:16,0,0,20720500,0,36,True,15,Тематическое окно; не выручка от поста. Окна разных публикаций пересекаются.,0.0,207205.0
https://t.me/algoses/594,algoses,594,Алгоритмы старт,family_candidate,2026-08-08 14:04:16,0,2297500,23291668,4,46,True,15,Тематическое окно; не выручка от поста. Окна разных публикаций пересекаются.,22975.0,232916.68
https://t.me/algoses/594,algoses,594,Backend старт,family_candidate,2026-08-08 14:04:16,0,2943000,10974666,4,20,True,15,Тематическое окно; не выручка от поста. Окна разных публикаций пересекаются.,29430.0,109746.66
https://t.me/algoses/594,algoses,594,ML старт,family_candidate,2026-08-08 14:04:16,0,2648500,18046833,4,33,True,15,Тематическое окно; не выручка от поста. Окна разных публикаций пересекаются.,26485.0,180468.33
https://t.me/postypashki_old/1836,postypashki_old,1836,Аналитика старт,family_candidate,2026-08-09 10:32:11,0,6233000,15785500,11,27,True,15,Тематическое окно; не выручка от поста. Окна разных публикаций пересекаются.,62330.0,157855.0
https://t.me/postypashki_old/1836,postypashki_old,1836,Алгоритмы старт,family_candidate,2026-08-09 10:32:11,0,10044000,17525168,19,35,True,15,Тематическое окно; не выручка от поста. Окна разных публикаций пересекаются.,100440.0,175251.68
https://t.me/postypashki_old/1836,postypashki_old,1836,Backend старт,family_candidate,2026-08-09 10:32:11,0,5579500,6693166,10,12,True,15,Тематическое окно; не выручка от поста. Окна разных публикаций пересекаются.,55795.0,66931.66
https://t.me/postypashki_old/1836,postypashki_old,1836,ML старт,family_candidate,2026-08-09 10:32:11,0,7276500,17061833,13,30,True,15,Тематическое окно; не выручка от поста. Окна разных публикаций пересекаются.,72765.0,170618.33
https://t.me/postypashki_old/1837,postypashki_old,1837,Аналитика старт,family_candidate,2026-08-09 15:35:40,0,8675000,15065500,15,25,True,16,Тематическое окно; не выручка от поста. Окна разных публикаций пересекаются.,86750.0,150655.0
https://t.me/postypashki_old/1837,postypashki_old,1837,Алгоритмы старт,family_candidate,2026-08-09 15:35:40,0,12469000,15100168,24,30,True,16,Тематическое окно; не выручка от поста. Окна разных публикаций пересекаются.,124690.0,151001.68
https://t.me/postypashki_old/1837,postypashki_old,1837,Backend старт,family_candidate,2026-08-09 15:35:40,0,6774000,5498666,12,10,True,16,Тематическое окно; не выручка от поста. Окна разных публикаций пересекаются.,67740.0,54986.66
https://t.me/postypashki_old/1837,postypashki_old,1837,ML старт,family_candidate,2026-08-09 15:35:40,0,9206500,15831833,17,27,True,16,Тематическое окно; не выручка от поста. Окна разных публикаций пересекаются.,92065.0,158318.33
https://t.me/postypashki_old/1838,postypashki_old,1838,Аналитика старт,explicit,2026-08-10 13:26:59,0,15311000,9304000,26,15,True,15,Тематическое окно; не выручка от поста. Окна разных публикаций пересекаются.,153110.0,93040.0
https://t.me/algoses/595,algoses,595,Алгоритмы старт,family_candidate,2026-08-10 15:01:31,0,22465168,6853000,44,12,True,15,Тематическое окно; не выручка от поста. Окна разных публикаций пересекаются.,224651.68,68530.0
https://t.me/chad_protocol/512,chad_protocol,512,Аналитика старт,family_candidate,2026-08-10 15:50:40,0,16609000,8006000,28,13,True,15,Тематическое окно; не выручка от поста. Окна разных публикаций пересекаются.,166090.0,80060.0
https://t.me/chad_protocol/512,chad_protocol,512,Алгоритмы старт,family_candidate,2026-08-10 15:50:40,0,23114168,6204000,45,11,True,15,Тематическое окно; не выручка от поста. Окна разных публикаций пересекаются.,231141.68,62040.0
https://t.me/chad_protocol/512,chad_protocol,512,Backend старт,family_candidate,2026-08-10 15:50:40,0,12272666,0,22,0,True,15,Тематическое окно; не выручка от поста. Окна разных публикаций пересекаются.,122726.66,0.0
https://t.me/chad_protocol/512,chad_protocol,512,ML старт,family_candidate,2026-08-10 15:50:40,0,17561333,7852500,32,13,True,15,Тематическое окно; не выручка от поста. Окна разных публикаций пересекаются.,175613.33,78525.0
https://t.me/postypashki_old/1840,postypashki_old,1840,Аналитика старт,family_candidate,2026-08-10 17:33:06,0,17599000,7016000,30,11,True,16,Тематическое окно; не выручка от поста. Окна разных публикаций пересекаются.,175990.0,70160.0
https://t.me/postypashki_old/1840,postypashki_old,1840,Алгоритмы старт,family_candidate,2026-08-10 17:33:06,0,25094168,4224000,49,7,True,16,Тематическое окно; не выручка от поста. Окна разных публикаций пересекаются.,250941.68,42240.0
https://t.me/postypashki_old/1840,postypashki_old,1840,Backend старт,family_candidate,2026-08-10 17:33:06,0,12272666,0,22,0,True,16,Тематическое окно; не выручка от поста. Окна разных публикаций пересекаются.,122726.66,0.0
https://t.me/postypashki_old/1840,postypashki_old,1840,ML старт,family_candidate,2026-08-10 17:33:06,0,18056333,7357500,33,12,True,16,Тематическое окно; не выручка от поста. Окна разных публикаций пересекаются.,180563.33,73575.0
https://t.me/chad_protocol/513,chad_protocol,513,Аналитика старт,family_candidate,2026-08-10 17:43:48,0,17599000,7016000,30,11,True,16,Тематическое окно; не выручка от поста. Окна разных публикаций пересекаются.,175990.0,70160.0
https://t.me/chad_protocol/513,chad_protocol,513,Алгоритмы старт,family_candidate,2026-08-10 17:43:48,0,25094168,4224000,49,7,True,16,Тематическое окно; не выручка от поста. Окна разных публикаций пересекаются.,250941.68,42240.0
https://t.me/chad_protocol/513,chad_protocol,513,Backend старт,family_candidate,2026-08-10 17:43:48,0,12272666,0,22,0,True,16,Тематическое окно; не выручка от поста. Окна разных публикаций пересекаются.,122726.66,0.0
https://t.me/chad_protocol/513,chad_protocol,513,ML старт,family_candidate,2026-08-10 17:43:48,0,18056333,7357500,33,12,True,16,Тематическое окно; не выручка от поста. Окна разных публикаций пересекаются.,180563.33,73575.0
https://t.me/algoses/596,algoses,596,Аналитика старт,family_candidate,2026-08-10 18:49:10,0,19148000,5467000,33,8,True,17,Тематическое окно; не выручка от поста. Окна разных публикаций пересекаются.,191480.0,54670.0
https://t.me/algoses/596,algoses,596,Алгоритмы старт,family_candidate,2026-08-10 18:49:10,0,25094168,4224000,49,7,True,17,Тематическое окно; не выручка от поста. Окна разных публикаций пересекаются.,250941.68,42240.0
https://t.me/algoses/596,algoses,596,Backend старт,family_candidate,2026-08-10 18:49:10,0,12272666,0,22,0,True,17,Тематическое окно; не выручка от поста. Окна разных публикаций пересекаются.,122726.66,0.0
https://t.me/algoses/596,algoses,596,ML старт,family_candidate,2026-08-10 18:49:10,0,18056333,7357500,33,12,True,17,Тематическое окно; не выручка от поста. Окна разных публикаций пересекаются.,180563.33,73575.0
https://t.me/postypashki_mems/1380,postypashki_mems,1380,Аналитика старт,family_candidate,2026-08-10 18:49:44,0,19148000,5467000,33,8,True,17,Тематическое окно; не выручка от поста. Окна разных публикаций пересекаются.,191480.0,54670.0
https://t.me/postypashki_mems/1380,postypashki_mems,1380,Алгоритмы старт,family_candidate,2026-08-10 18:49:44,0,25094168,4224000,49,7,True,17,Тематическое окно; не выручка от поста. Окна разных публикаций пересекаются.,250941.68,42240.0
https://t.me/postypashki_mems/1380,postypashki_mems,1380,Backend старт,family_candidate,2026-08-10 18:49:44,0,12272666,0,22,0,True,17,Тематическое окно; не выручка от поста. Окна разных публикаций пересекаются.,122726.66,0.0
https://t.me/postypashki_mems/1380,postypashki_mems,1380,ML старт,family_candidate,2026-08-10 18:49:44,0,18056333,7357500,33,12,True,17,Тематическое окно; не выручка от поста. Окна разных публикаций пересекаются.,180563.33,73575.0
https://t.me/postypashki_old/1843,postypashki_old,1843,Аналитика про,family_candidate,2026-08-11 15:50:13,0,2759000,2569500,6,3,True,14,Тематическое окно; не выручка от поста. Окна разных публикаций пересекаются.,27590.0,25695.0
https://t.me/postypashki_old/1843,postypashki_old,1843,ML про,family_candidate,2026-08-11 15:50:13,0,874500,1695000,1,2,True,14,Тематическое окно; не выручка от поста. Окна разных публикаций пересекаются.,8745.0,16950.0
https://t.me/postypashki_old/1843,postypashki_old,1843,Backend про,family_candidate,2026-08-11 15:50:13,0,2298000,0,3,0,True,14,Тематическое окно; не выручка от поста. Окна разных публикаций пересекаются.,22980.0,0.0
https://t.me/postypashki_old/1843,postypashki_old,1843,Алгоритмы про,family_candidate,2026-08-11 15:50:13,0,0,495000,0,1,True,14,Тематическое окно; не выручка от поста. Окна разных публикаций пересекаются.,0.0,4950.0
https://t.me/postypashki_old/1843,postypashki_old,1843,AI агенты,family_candidate,2026-08-11 15:50:13,0,0,0,0,0,True,14,Тематическое окно; не выручка от поста. Окна разных публикаций пересекаются.,0.0,0.0
https://t.me/postypashki_old/1844,postypashki_old,1844,Аналитика про,explicit,2026-08-12 16:05:42,0,3107000,1722000,6,2,True,13,Тематическое окно; не выручка от поста. Окна разных публикаций пересекаются.,31070.0,17220.0
